,station_id,description,lon,lat,height
0,01025,TROMSOE,18.92,69.68,10.0
1,01089,KIRKENES,29.9,69.73,91.0
2,01210,ALESUND AIRP,6.12,62.57,22.0
3,02226,FROSON,14.5,63.2,376.0
4,02355,KUGGOEREN AMOS,17.52,61.7,9.0
5,02807,IVALO,27.42,68.62,147.0
6,02869,KUUSAMO,29.18,65.97,262.0
7,02917,KUOPIO,27.8,63.02,98.0
8,02947,MIKKELI,27.3,61.73,138.0
9,04063,AKUREYRI,-18.08,65.68,23.0
10,04270,NARSARSUAQ,-45.43,61.15,4.0
11,04361,KULUSUK,-37.13,65.57,35.0
12,08515,SANTA MARIA,-25.17,36.97,100.0
13,17096,ERZURUM,41.27,39.92,1756.0
14,22113,MURMANSK,33.05,68.97,51.0
15,22820,PETROSK,34.27,61.82,110.0
16,23631,BEREZOVO,65.05,63.93,32.0
17,24125,OLENEK,112.43,68.5,220.0
18,27051,TOTMA,42.75,59.88,134.0
19,27612,MOSKAU,37.57,55.75,156.0
20,28076,DEMJANSKOE,69.28,59.6,57.0
21,28722,UFA,55.83,54.72,104.0
22,29838,BARNAUL,83.52,53.43,184.0
23,30521,ZHIGALOVO,105.22,54.8,426.0
24,31088,OKHOTSK,143.2,59.37,6.0
25,31960,VLADIVOSTOK,131.9,43.12,138.0
26,32389,KLJUCHI,160.83,56.32,29.0
27,34152,BALASHOV,43.15,51.55,154.0
28,34880,ASTRAHAN,48.05,46.28,-23.0
29,35229,AKTJUBINSK,57.15,50.28,219.0
30,36870,ALMA-ATA,76.93,43.23,847.0
31,37864,BAKU/BINA,50.07,40.45,-6.0
32,38545,DARGANATA,62.28,40.47,143.0
33,38927,TERMEZ,67.27,37.23,310.0
34,40362,RAFHA,43.48,29.62,449.0
35,40437,RIAD INT.AIRPORT,46.72,24.93,614.0
36,40745,MASHHAD,59.63,36.27,989.0
37,40766,KERMANSHAH,47.12,34.27,1320.0
38,40835,GACH SARAN DU GUNBA.,50.77,30.43,699.0
39,41024,JEDDAH/KING ABDUL,39.18,21.7,15.0
40,41194,DUBAI,55.33,25.25,8.0
41,41242,DIBBA,56.25,25.62,20.0
42,41254,SAIQ,57.65,23.07,1755.0
43,41258,QABOOS PORT,58.57,23.63,4.0
44,41265,IBRA,58.52,22.73,469.0
45,41304,MARMUL,55.18,18.13,273.0
46,41316,SALALAH,54.08,17.03,20.0
47,41696,KALAT,66.58,29.03,2015.0
48,41950,BARISAL,90.37,22.75,4.0
49,42348,JAIPUR/SANGANER,75.8,26.82,385.0
50,43003,BOMBAY AIRPORT,72.85,19.12,8.0
51,43450,KATUNAYAKE,79.88,7.17,8.0
52,43599,GAN,73.15,-0.68,2.0
